id;imdb_id;popularity;budget;revenue;original_title;cast;homepage;director;tagline;keywords;overview;runtime;genres;production_companies;release_date;vote_count;vote_average;release_year;budget_adj;revenue_adj
135397;tt0369610;32.985763;150000000;1513528810;Jurassic World;Chris Pratt|Bryce Dallas Howard|Irrfan Khan|Vincent D'Onofrio|Nick Robinson;http://www.jurassicworld.com/;Colin Trevorrow;The park is open.;monster|dna|tyrannosaurus rex|velociraptor|island;Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.;124;Action|Adventure|Science Fiction|Thriller;Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu;06/09/2015;5562;6.5;2015;137999939.3;1392445893
76341;tt1392190;28.419936;150000000;378436354;Mad Max: Fury Road;Tom Hardy|Charlize Theron|Hugh Keays-Byrne|Nicholas Hoult|Josh Helman;http://www.madmaxmovie.com/;George Miller;What a Lovely Day.;future|chase|post-apocalyptic|dystopia|australia;An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.;120;Action|Adventure|Science Fiction|Thriller;Village Roadshow Pictures|Kennedy Miller Productions;5/13/2015;6185;7.1;2015;137999939.3;348161292.5
262500;tt2908446;13.112507;110000000;295238201;Insurgent;Shailene Woodley|Theo James|Kate Winslet|Ansel Elgort|Miles Teller;http://www.thedivergentseries.movie/#insurgent;Robert Schwentke;One Choice Can Destroy You;based on novel|revolution|dystopia|sequel|dystopic future;Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart.;119;Adventure|Science Fiction|Thriller;Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel;3/18/2015;2480;6.3;2015;101199955.5;271619025.4
140607;tt2488496;11.173104;200000000;2068178225;Star Wars: The Force Awakens;Harrison Ford|Mark Hamill|Carrie Fisher|Adam Driver|Daisy Ridley;http://www.starwars.com/films/star-wars-episode-vii;J.J. Abrams;Every generation has a story.;android|spaceship|jedi|space opera|3d;Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.;136;Action|Adventure|Science Fiction|Fantasy;Lucasfilm|Truenorth Productions|Bad Robot;12/15/2015;5292;7.5;2015;183999919;1902723130
168259;tt2820852;9.335014;190000000;1506249360;Furious 7;Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Dwayne Johnson;http://www.furious7.com/;James Wan;Vengeance Hits Home;car race|speed|revenge|suspense|car;Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.;137;Action|Crime|Thriller;Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films;04/01/2015;2947;7.3;2015;174799923.1;1385748801
281957;tt1663202;9.1107;135000000;532950503;The Revenant;Leonardo DiCaprio|Tom Hardy|Will Poulter|Domhnall Gleeson|Paul Anderson;http://www.foxmovies.com/movies/the-revenant;Alejandro GonzÃ¡lez IÃ±Ã¡rritu;(n. One who has returned, as if from the dead.);father-son relationship|rape|based on novel|mountains|winter;In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.;156;Western|Drama|Adventure|Thriller;Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures;12/25/2015;3929;7.2;2015;124199945.4;490314247
286217;tt3659388;7.6674;108000000;595380321;The Martian;Matt Damon|Jessica Chastain|Kristen Wiig|Jeff Daniels|Michael PeÃ±a;http://www.foxmovies.com/movies/the-martian;Ridley Scott;Bring Him Home;based on novel|mars|nasa|isolation|botanist;During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.;141;Drama|Adventure|Science Fiction;Twentieth Century Fox Film Corporation|Scott Free Productions|Mid Atlantic Films|International Traders|TSG Entertainment;9/30/2015;4572;7.6;2015;99359956.28;547749654.3
211672;tt2293640;7.404165;74000000;1156730962;Minions;Sandra Bullock|Jon Hamm|Michael Keaton|Allison Janney|Steve Coogan;http://www.minionsmovie.com/;Kyle Balda|Pierre Coffin;Before Gru, they had a history of bad bosses;assistant|aftercreditsstinger|duringcreditsstinger|evil mastermind|minions;Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.;91;Family|Animation|Adventure|Comedy;Universal Pictures|Illumination Entertainment;6/17/2015;2893;6.5;2015;68079970.04;1064192017
150540;tt2096673;6.326804;175000000;853708609;Inside Out;Amy Poehler|Phyllis Smith|Richard Kind|Bill Hader|Lewis Black;http://movies.disney.com/inside-out;Pete Docter;Meet the little voices inside your head.;dream|cartoon|imaginary friend|animation|kid;Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.;94;Comedy|Animation|Family;Walt Disney Pictures|Pixar Animation Studios|Walt Disney Studios Motion Pictures;06/09/2015;3935;8;2015;160999929.2;785411574.7
206647;tt2379713;6.200282;245000000;880674609;Spectre;Daniel Craig|Christoph Waltz|LÃ©a Seydoux|Ralph Fiennes|Monica Bellucci;http://www.sonypictures.com/movies/spectre/;Sam Mendes;A Plan No One Escapes;spy|based on novel|secret agent|sequel|james bond;A cryptic message from Bondâ€™s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.;148;Action|Adventure|Crime;Columbia Pictures|Danjaq|B24;10/26/2015;3254;6.2;2015;225399900.8;810220283.8
